Day,Cases
2021-09-01,138600
2021-09-02,176801
2021-09-03,197627
2021-09-04,183417
2021-09-05,182112
2021-09-06,141762
2021-09-07,123082
2021-09-08,116004
2021-09-09,114676
2021-09-10,171241
2021-09-11,183714
2021-09-12,172091
2021-09-13,153543
2021-09-14,113838
2021-09-15,118971
2021-09-16,162147
2021-09-17,163128
2021-09-18,167335
2021-09-19,158492
2021-09-20,122574
2021-09-21,94644
2021-09-22,98378
2021-09-23,132981
2021-09-24,132730
2021-09-25,138256
2021-09-26,132731
2021-09-27,96166
2021-09-28,75238
2021-09-29,107319
2021-09-30,115452
