Day,Cases
2020-09-01,36635
2020-09-02,38696
2020-09-03,39178
2020-09-04,43647
2020-09-05,45272
2020-09-06,50917
2020-09-07,41129
2020-09-08,34237
2020-09-09,24876
2020-09-10,28054
2020-09-11,34660
2020-09-12,38583
2020-09-13,44082
2020-09-14,40371
2020-09-15,32888
2020-09-16,34336
2020-09-17,36815
2020-09-18,43910
2020-09-19,44530
2020-09-20,48127
2020-09-21,42181
2020-09-22,34450
2020-09-23,41398
2020-09-24,49528
2020-09-25,41641
2020-09-26,45961
2020-09-27,49615
2020-09-28,42035
2020-09-29,35551
2020-09-30,38402
