Day,Cases
2020-07-01,38517
2020-07-02,47253
2020-07-03,59342
2020-07-04,55452
2020-07-05,60366
2020-07-06,48978
2020-07-07,40413
2020-07-08,50763
2020-07-09,56754
2020-07-10,64775
2020-07-11,61943
2020-07-12,68579
2020-07-13,68262
2020-07-14,58680
2020-07-15,56287
2020-07-16,64516
2020-07-17,72389
2020-07-18,69181
2020-07-19,76952
2020-07-20,67324
2020-07-21,60012
2020-07-22,58519
2020-07-23,63336
2020-07-24,72416
2020-07-25,73142
2020-07-26,73152
2020-07-27,61596
2020-07-28,57759
2020-07-29,54007
2020-07-30,58708
2020-07-31,64855
