Day,Cases
2020-11-01,97518
2020-11-02,92783
2020-11-03,141582
2020-11-04,87188
2020-11-05,98499
2020-11-06,113875
2020-11-07,122830
2020-11-08,133337
2020-11-09,129810
2020-11-10,111648
2020-11-11,124487
2020-11-12,145951
2020-11-13,153660
2020-11-14,162300
2020-11-15,176989
2020-11-16,164239
2020-11-17,137564
2020-11-18,153374
2020-11-19,167352
2020-11-20,170904
2020-11-21,188681
2020-11-22,193369
2020-11-23,173861
2020-11-24,149783
2020-11-25,160411
2020-11-26,175183
2020-11-27,194100
2020-11-28,145029
2020-11-29,164034
2020-11-30,144575
